,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage,Seed
546,20,4,smart,581,486,83.64888123924268,351.7489711934156,131.0514403292181,759.9776216976128,307.3191916172787,40.437926439307425,532925674.0
547,10,6,basic,576,403,69.96527777777779,583.091811414392,122.83126550868487,381.6259103894332,225.93300744307555,59.20274312939612,805309175.0
548,10,8,smart,566,402,71.02473498233216,681.1865671641791,118.40547263681592,381.10194962591225,223.83665969967214,58.734063134389395,112043825.0
549,5,4,smart,576,279,48.4375,1127.336917562724,131.0573476702509,191.27438321647824,142.62948227127794,74.56800010164164,367405145.0
550,5,8,smart,558,283,50.7168458781362,958.660777385159,123.07773851590106,191.4202065700697,145.62302567292545,76.07505408245389,383864777.0
551,5,8,smart,601,287,47.75374376039934,900.801393728223,125.07317073170732,191.44302991727932,147.00149967140467,76.78602858245746,116942809.0
552,15,8,basic,561,391,69.6969696969697,436.9156010230179,118.53964194373401,569.1522827476516,224.75545086594303,39.4895105719174,783435377.0
553,20,6,basic,514,410,79.76653696498055,381.08048780487803,122.40487804878049,757.2372613678772,250.8169426748786,33.12263612355811,112043825.0
554,5,6,smart,526,280,53.2319391634981,996.0607142857143,121.00714285714285,191.2662351932023,133.66188861197034,69.8826368788801,153044519.0
555,15,6,basic,554,380,68.59205776173285,346.35263157894735,117.7578947368421,568.9530758977003,219.07922321229591,38.50567515899802,485221178.0
556,10,4,smart,573,386,67.36474694589877,657.598445595855,127.18911917098445,381.6790021045549,221.9968208488478,58.16322606818053,62156218.0
