,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
144,15,4,basic,556,422,75.89928057553958,486.16824644549763,128.48104265402844,570.1187466418666,252.11519979596534,44.221524249287214
145,10,4,basic,576,380,65.97222222222221,621.6921052631579,119.91052631578947,381.4140531821518,213.0305666586431,55.85283627630421
146,20,4,smart,557,449,80.61041292639139,363.08240534521155,132.75723830734967,759.1910356165665,292.7125197236621,38.555845102404255
147,5,4,basic,537,267,49.72067039106145,1001.87265917603,128.47191011235955,191.60646125395766,145.8093224539414,76.0983327491675
148,15,4,basic,565,421,74.51327433628319,532.3919239904989,130.3729216152019,570.1578142906064,256.6026742561934,45.00555246716383
149,10,6,smart,521,386,74.08829174664108,707.2849740932643,127.11398963730569,381.97273477089385,219.80333125751983,57.54424629008068
150,10,8,basic,588,405,68.87755102040816,642.9802469135802,117.31358024691357,381.2687697794814,215.0183291784647,56.395473802595276
151,20,4,smart,571,472,82.66199649737302,425.52542372881356,131.3177966101695,759.538111941286,302.4436174129172,39.81941296400631
152,15,8,basic,593,439,74.03035413153457,468.31890660592256,120.9886104783599,570.1451495624948,252.90390895001926,44.35781118967459
153,15,4,smart,536,435,81.15671641791045,615.383908045977,131.91494252873562,570.6335965481497,258.34196423411476,45.272827572169774
154,20,4,basic,532,445,83.64661654135338,376.3820224719101,127.82247191011236,758.3615635042717,283.898981416669,37.43583470987317
155,15,6,basic,529,403,76.18147448015122,435.9454094292804,124.82630272952854,569.5769633481465,245.39651323417783,43.083995495825974
156,5,6,smart,540,274,50.74074074074074,936.6751824817518,124.6094890510949,191.37009274409328,139.86264208207936,73.08490061145999
157,5,8,smart,561,296,52.76292335115864,920.8074324324324,117.37837837837837,191.52197272740176,147.63286272710846,77.08403407959786
158,15,8,basic,578,423,73.1833910034602,471.0661938534279,116.89834515366431,569.0054721657532,228.82820036918756,40.21546567877807
159,5,4,basic,603,295,48.92205638474295,1039.7525423728814,121.03728813559322,191.37715853263234,148.74888939627718,77.7255188324439
160,15,6,smart,505,411,81.38613861386138,495.25790754257906,129.11435523114355,570.3963201571803,249.60786001517707,43.76042607469738
161,15,4,smart,564,445,78.90070921985816,469.99101123595506,125.05393258426966,571.0037478828456,276.4255381493649,48.41045950648995
162,20,4,smart,563,469,83.30373001776199,331.3880597014925,134.45628997867803,759.4859303382165,297.5695286199185,39.18038725054511
163,15,8,basic,568,415,73.06338028169014,472.2289156626506,120.19518072289156,569.5399676008562,246.86761677431733,43.345090918593186
164,5,8,smart,595,301,50.588235294117645,978.6777408637873,119.3421926910299,191.2762387139888,148.54641820355272,77.66067505419267
165,10,6,smart,546,376,68.86446886446886,614.9441489361702,122.94680851063829,381.2825037952408,208.55924656980451,54.699401229752354
166,5,8,smart,599,312,52.08681135225376,1012.0801282051282,122.25320512820512,191.3626148460201,150.79934332485345,78.80292785829359
